angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"[792, 242, 277, 353]",0.0,0.32,0.0,0.42,0.21,0.0
0.18,"[797, 251, 274, 345]",0.0,0.25,0.0,0.3,0.26,0.0
0.18,"[797, 251, 274, 345]",0.0,0.26,0.0,0.3,0.26,0.0
0.18,"[797, 251, 274, 345]",0.0,0.26,0.0,0.3,0.26,0.0
0.18,"[794, 252, 276, 343]",0.0,0.3,0.0,0.32,0.19,0.01
0.18,"[794, 252, 276, 343]",0.0,0.3,0.0,0.32,0.19,0.01
0.15,"[796, 255, 273, 341]",0.0,0.34,0.0,0.32,0.16,0.04
0.15,"[795, 249, 277, 349]",0.0,0.49,0.0,0.19,0.15,0.02
0.15,"[795, 249, 277, 349]",0.0,0.49,0.0,0.18,0.16,0.02
0.15,"[794, 249, 277, 350]",0.0,0.48,0.0,0.19,0.15,0.03
0.15,"[794, 249, 277, 350]",0.0,0.48,0.0,0.19,0.15,0.03
0.21,"[784, 245, 282, 362]",0.0,0.25,0.0,0.36,0.15,0.02
0.23,"[795, 252, 275, 348]",0.0,0.37,0.0,0.22,0.15,0.03
0.23,"[795, 252, 275, 348]",0.0,0.37,0.0,0.22,0.15,0.03
0.2,"[795, 252, 276, 347]",0.0,0.34,0.0,0.26,0.16,0.05
0.23,"[796, 253, 275, 346]",0.0,0.29,0.0,0.26,0.18,0.03
0.19,"[786, 250, 280, 357]",0.0,0.22,0.0,0.45,0.12,0.03
0.19,"[786, 250, 280, 357]",0.0,0.22,0.0,0.44,0.12,0.03
0.19,"[786, 250, 280, 357]",0.0,0.22,0.0,0.44,0.12,0.03
0.14,"[790, 253, 279, 355]",0.0,0.28,0.0,0.39,0.15,0.04
0.16,"[789, 251, 279, 357]",0.0,0.29,0.0,0.39,0.13,0.03
0.2,"[792, 252, 278, 356]",0.0,0.37,0.0,0.26,0.13,0.04
0.2,"[792, 252, 278, 356]",0.0,0.37,0.0,0.25,0.13,0.04
0.2,"[792, 252, 278, 356]",0.0,0.37,0.0,0.25,0.13,0.04
0.16,"[789, 251, 280, 357]",0.0,0.45,0.0,0.22,0.09,0.07
0.16,"[789, 251, 280, 357]",0.0,0.45,0.0,0.22,0.09,0.07
0.1,"[790, 254, 281, 357]",0.0,0.54,0.0,0.06,0.03,0.27
0.1,"[790, 254, 281, 357]",0.0,0.53,0.0,0.06,0.03,0.28
0.1,"[790, 254, 281, 357]",0.0,0.53,0.0,0.06,0.03,0.28
0.11,"[789, 252, 281, 358]",0.0,0.55,0.0,0.08,0.04,0.21
0.11,"[789, 252, 281, 358]",0.0,0.55,0.0,0.08,0.04,0.21
0.15,"[792, 254, 278, 355]",0.0,0.53,0.0,0.03,0.03,0.25
0.15,"[792, 254, 278, 355]",0.0,0.54,0.0,0.03,0.03,0.25
0.15,"[792, 254, 278, 355]",0.0,0.54,0.0,0.03,0.03,0.25
0.05,"[791, 254, 278, 356]",0.0,0.45,0.0,0.01,0.01,0.49
0.05,"[790, 253, 279, 357]",0.0,0.45,0.0,0.01,0.01,0.48
0.04,"[790, 253, 279, 358]",0.0,0.35,0.0,0.0,0.0,0.61
0.07,"[787, 250, 283, 362]",0.0,0.42,0.0,0.01,0.01,0.5
0.06,"[787, 251, 283, 361]",0.0,0.4,0.0,0.01,0.0,0.53
0.06,"[789, 250, 282, 362]",0.0,0.32,0.0,0.01,0.0,0.61
0.06,"[789, 250, 282, 362]",0.0,0.31,0.0,0.01,0.0,0.62
0.07,"[790, 252, 282, 360]",0.0,0.3,0.0,0.01,0.0,0.61
0.07,"[790, 252, 282, 360]",0.0,0.3,0.0,0.01,0.0,0.6
0.07,"[790, 252, 282, 360]",0.0,0.3,0.0,0.01,0.0,0.6
0.06,"[786, 248, 282, 351]",0.0,0.22,0.0,0.0,0.0,0.71
0.12,"[788, 249, 283, 361]",0.0,0.3,0.0,0.01,0.01,0.57
0.13,"[788, 250, 274, 346]",0.0,0.26,0.0,0.01,0.01,0.59
0.12,"[788, 250, 274, 345]",0.0,0.28,0.0,0.01,0.01,0.59
0.13,"[788, 250, 274, 346]",0.0,0.26,0.0,0.01,0.01,0.59
0.1,"[783, 241, 287, 353]",0.0,0.14,0.0,0.01,0.01,0.74
0.11,"[784, 241, 286, 353]",0.0,0.12,0.0,0.01,0.01,0.74
0.26,"[792, 235, 275, 353]",0.0,0.13,0.17,0.03,0.02,0.39
0.2,"[792, 235, 276, 353]",0.0,0.15,0.2,0.02,0.02,0.41
0.2,"[792, 235, 276, 353]",0.0,0.15,0.2,0.02,0.02,0.41
0.05,"[788, 237, 265, 343]",0.0,0.05,0.83,0.01,0.0,0.05
0.06,"[788, 238, 264, 341]",0.0,0.05,0.82,0.01,0.0,0.05
0.0,"[786, 232, 274, 352]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[787, 232, 273, 351]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[788, 231, 272, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.01,"[790, 228, 264, 351]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[790, 228, 265, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.01,"[788, 227, 265, 351]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[789, 227, 265, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[789, 227, 264, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[788, 225, 264, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.01,"[788, 225, 264, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 232, 257, 339]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[799, 232, 258, 339]",0.0,0.01,0.99,0.0,0.0,0.01
0.0,"[800, 232, 257, 339]",0.0,0.01,0.99,0.0,0.0,0.01
0.0,"[798, 231, 257, 340]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[798, 231, 257, 340]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[797, 231, 257, 340]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[796, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[796, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
